Syscall Type,Average Duration in nanosecond,Min Duration in nanosecond,Max Duration in nanosecond
read,5245,62,264366
writev,19066,1103,131007
ioctl,6596,69,1203307
recvmsg,5644,31,158092
write,5661,167,51175
poll,439298,26,100431608
setitimer,6272,1044,30169
getpid,1350,264,6708
epoll_wait,1062533,389,15373425
kcmp,2892,505,53833
sync_file_range,39715,700,242857
fadvise64,17861,3016,1590357
timerfd_settime,11666,3462,16031
sendmsg,16325,1308,58505
close,1082,341,10403
newfstat,1717,554,9177
wait4,13592,13592,13592
openat,12661,3943,104598
splice,166691,9177,965810
epoll_ctl,2623,624,9080
access,8517,293,31822
futex,3378,11,700756
mprotect,4714,1554,37514
newlstat,5945,328,40178
munmap,6787,1766,216745
fallocate,29480,29480,29480
fstatfs,4473,3277,5174
inotify_rm_watch,31447,14244,64430
pwrite64,14073,6618,33016
unlink,8488,7152,9824
newstat,4546,28,15130
rename,415265,415265,415265
chmod,113099,113099,113099
mmap,5485,1574,54183
getuid,1533,410,3965
set_robust_list,1923,1184,2676
prctl,4954,3655,6252
inotify_add_watch,12478,1848,58856
recvfrom,2818,2818,2818
getdents,1989,725,6920
getrusage,7016,6271,7760
readlink,2591,2543,2640
madvise,23307,2912,40183
newuname,4214,1420,6007
lseek,1739,1163,2316
pipe2,11288,11288,11288
clone,412170,412170,412170
dup2,2437,1458,3416
rt_sigaction,1496,703,3112
getdents64,23106,2291,43920
brk,2918,1687,6748
arch_prctl,2695,2348,3042
getgid,903,407,1765
geteuid,1055,413,2076
getppid,1814,1814,1814
getegid,714,404,1157
set_tid_address,1249,1249,1249
rt_sigprocmask,1282,1282,1282
prlimit64,2095,1960,2230
socket,13258,9952,16563
connect,26387,22323,30452
accept,14647,12593,16700
fcntl,1630,1475,1785
setsockopt,2693,2488,2898
shutdown,3248,3248,3248
